row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,137.0,12.0,15.0,28.0,36.0,33.0,26.0,0.0,0.0,29.0,0.0,21.0,116.0,16.0,339.0,44.71,29.1,70.68,140.0,77.62,35.79,35.62,10.27,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,137.0,12.0,15.0,28.0,40.0,33.0,26.0,0.0,0.0,29.0,0.0,21.0,136.0,16.0,339.0,44.4,28.88,69.61,138.53,76.2,35.01,35.0,8.84,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,138.0,16.0,17.0,28.0,44.0,33.0,26.0,0.0,0.0,29.0,0.0,21.0,156.0,16.0,339.0,44.07,28.5,68.26,136.24,75.0,35.0,33.6,7.26,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,141.0,21.0,17.0,28.0,44.0,33.0,30.0,0.0,0.0,29.0,0.0,21.0,170.0,16.0,345.0,43.81,28.1,66.84,135.0,74.0,35.0,31.17,5.94,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,150.0,30.0,17.0,31.0,44.0,33.0,35.0,0.0,0.0,29.0,0.0,21.0,176.0,16.0,352.0,43.5,27.92,65.71,133.1,72.52,33.0,30.0,4.97,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,153.0,40.0,17.0,31.0,44.0,33.0,35.0,0.0,0.0,29.0,0.0,21.0,176.0,16.0,359.0,43.1,27.52,64.69,131.0,70.81,30.1,28.3,3.98,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,153.0,40.0,17.0,31.0,44.0,33.0,35.0,0.0,0.0,29.0,0.0,21.0,176.0,22.0,371.0,42.85,27.2,63.15,129.99,69.99,27.03,26.21,3.68,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,163.0,40.0,17.0,31.0,44.0,34.0,35.0,0.0,0.0,29.0,0.0,21.0,176.0,22.0,379.0,42.51,27.0,62.01,127.85,68.0,24.22,24.59,3.08,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,163.0,40.0,17.0,31.0,44.0,34.0,35.0,0.0,0.0,29.0,0.0,21.0,177.0,22.0,386.0,42.21,26.51,61.02,125.33,65.88,20.1,22.19,2.41,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,163.0,40.0,17.0,31.0,44.0,37.0,39.0,0.0,0.0,29.0,0.0,21.0,182.0,22.0,392.0,41.95,26.2,60.0,123.38,64.8,17.04,20.3,2.02,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,163.0,40.0,17.0,31.0,44.0,41.0,40.0,0.0,0.0,29.0,0.0,21.0,182.0,28.0,399.0,41.54,26.0,58.96,121.0,62.48,14.2,19.26,1.69,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,163.0,40.0,25.0,31.0,44.0,43.0,40.0,0.0,0.0,29.0,0.0,21.0,182.0,30.0,399.0,41.1,25.51,57.46,120.0,60.0,11.41,17.6,1.3,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,163.0,40.0,25.0,31.0,44.0,45.0,40.0,0.0,0.0,29.0,0.0,21.0,182.0,35.0,399.0,40.85,25.09,56.05,117.99,57.88,10.0,15.97,1.03,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,164.0,40.0,25.0,31.0,44.0,52.0,45.0,0.0,0.0,29.0,0.0,21.0,182.0,49.0,407.0,40.46,24.82,54.99,115.55,55.0,7.58,15.0,0.84,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,40.0,25.0,31.0,44.0,52.0,45.0,0.0,0.0,29.0,0.0,21.0,182.0,56.0,414.0,40.0,24.3,53.58,114.13,52.0,6.0,13.9,0.58,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,40.0,25.0,31.0,51.0,52.0,48.0,0.0,0.0,29.0,0.0,21.0,194.0,58.0,421.0,39.68,24.0,52.01,112.0,49.99,5.0,12.01,0.35,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,40.0,25.0,44.0,59.0,52.0,60.0,0.0,0.0,29.0,0.0,23.0,211.0,62.0,430.0,39.2,23.19,50.4,110.0,47.0,3.74,9.7,0.23,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,40.0,25.0,44.0,59.0,52.0,61.0,0.0,0.0,29.0,0.0,31.0,211.0,71.0,440.0,38.88,22.67,48.67,107.41,44.94,3.29,7.44,0.13,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,45.0,25.0,44.0,59.0,52.0,61.0,0.0,0.0,29.0,0.0,31.0,221.0,79.0,449.0,38.23,22.0,46.83,105.0,41.58,3.22,5.99,0.02,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,172.0,50.0,25.0,44.0,59.0,54.0,61.0,0.0,0.0,29.0,0.0,31.0,241.0,88.0,460.0,37.8,21.25,44.7,102.0,40.0,3.2,5.38,0.0,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,174.0,50.0,25.0,44.0,61.0,54.0,65.0,0.0,0.0,29.0,0.0,31.0,259.0,99.0,472.0,37.0,20.64,43.05,100.0,36.48,2.35,5.0,0.0,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,50.0,25.0,44.0,61.0,67.0,65.0,0.0,0.0,29.0,0.0,34.0,271.0,117.0,481.0,36.29,20.01,40.52,97.8,33.1,1.5,4.31,0.0,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,50.0,25.0,44.0,61.0,67.0,65.0,0.0,0.0,29.0,0.0,36.0,278.0,129.0,490.0,35.82,19.51,38.5,95.01,30.0,0.5,3.6,0.0,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,50.0,25.0,44.0,61.0,67.0,65.0,0.0,0.0,29.0,0.0,36.0,297.0,135.0,499.0,35.26,18.83,36.46,92.15,25.6,0.43,3.52,-0.0,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,54.0,25.0,44.0,65.0,73.0,65.0,0.0,0.0,29.0,0.0,44.0,314.0,141.0,509.0,34.66,18.02,33.62,89.74,22.8,0.1,2.99,-0.01,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,54.0,25.0,44.0,72.0,78.0,65.0,0.0,0.0,29.0,0.0,44.0,321.0,145.0,519.0,33.68,17.01,29.8,86.0,18.89,0.0,1.72,-0.02,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,57.0,25.0,44.0,72.0,82.0,71.0,0.0,0.0,30.0,0.0,44.0,331.0,152.0,528.0,32.51,16.01,26.41,80.27,15.0,0.0,0.66,-0.1,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,184.0,74.0,25.0,44.0,72.0,90.0,88.0,0.0,0.0,30.0,0.0,44.0,342.0,160.0,537.0,31.5,15.0,22.74,75.49,10.0,0.0,0.38,-0.25,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,25.0,44.0,75.0,98.0,98.0,0.0,0.0,30.0,0.0,44.0,362.0,169.0,546.0,30.01,14.01,18.4,66.18,5.0,0.0,0.02,-0.5,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,25.0,44.0,82.0,98.0,103.0,0.0,0.0,30.0,0.0,44.0,382.0,174.0,552.0,29.0,12.66,14.0,55.0,4.3,0.0,0.0,-0.81,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,25.0,44.0,97.0,98.0,108.0,0.0,0.0,30.0,0.0,44.0,401.0,183.0,552.0,26.51,11.34,9.4,45.0,4.16,0.0,0.0,-1.27,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,30.0,44.0,97.0,98.0,112.0,0.0,0.0,30.0,0.0,45.0,421.0,190.0,559.0,20.62,9.83,3.5,21.02,1.74,-0.01,-0.01,-2.0,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,33.0,52.0,97.0,99.0,112.0,0.0,0.0,30.0,0.0,47.0,439.0,197.0,564.0,6.46,5.93,1.95,4.11,0.1,-0.07,-0.86,-2.77,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,33.0,57.0,97.0,105.0,120.0,0.0,0.0,30.0,0.0,47.0,452.0,202.0,571.0,0.01,1.02,0.0,0.0,0.0,-2.0,-5.0,-9.82,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,189.0,74.0,33.0,57.0,100.0,111.0,120.0,0.0,0.0,30.0,0.0,47.0,465.0,205.0,579.0,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,192.0,74.0,33.0,57.0,105.0,118.0,120.0,0.0,0.0,30.0,0.0,50.0,474.0,212.0,587.0,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,33.0,57.0,115.0,118.0,120.0,0.0,0.0,30.0,0.0,50.0,484.0,218.0,595.0,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,33.0,57.0,124.0,121.0,120.0,0.0,0.0,30.0,0.0,53.0,494.0,224.0,602.0,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,33.0,57.0,125.0,121.0,120.0,0.0,0.0,30.0,0.0,60.0,509.0,233.0,608.0,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,36.0,57.0,127.0,121.0,120.0,0.0,0.0,30.0,0.0,60.0,525.0,239.0,614.0,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,36.0,57.0,127.0,121.0,123.0,0.0,0.0,30.0,0.0,60.0,536.0,247.0,621.0,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,208.0,74.0,36.0,58.0,127.0,126.0,126.0,0.0,0.0,30.0,0.0,60.0,545.0,258.0,630.0,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,212.0,74.0,36.0,58.0,127.0,133.0,126.0,0.0,0.0,30.0,0.0,60.0,550.0,267.0,636.0,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,219.0,74.0,36.0,60.0,127.0,133.0,130.0,0.0,0.0,30.0,0.0,60.0,559.0,267.0,643.0,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,228.0,76.0,36.0,60.0,130.0,133.0,136.0,0.0,0.0,30.0,0.0,60.0,570.0,267.0,650.0,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,76.0,38.0,60.0,130.0,133.0,143.0,0.0,0.0,30.0,0.0,67.0,582.0,273.0,657.0,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,76.0,38.0,60.0,130.0,133.0,149.0,0.0,0.0,30.0,0.0,67.0,592.0,281.0,657.0,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,60.0,130.0,133.0,158.0,0.0,0.0,30.0,0.0,67.0,599.0,289.0,664.0,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,60.0,130.0,139.0,166.0,0.0,0.0,30.0,0.0,67.0,599.0,300.0,673.0,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,60.0,130.0,147.0,169.0,0.0,0.0,30.0,0.0,67.0,599.0,311.0,680.0,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,60.0,134.0,152.0,175.0,0.0,0.0,30.0,0.0,67.0,606.0,320.0,685.0,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,60.0,145.0,157.0,182.0,0.0,0.0,30.0,0.0,67.0,614.0,330.0,685.0,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,232.0,79.0,38.0,63.0,145.0,162.0,189.0,0.0,0.0,30.0,0.0,67.0,614.0,338.0,691.0,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,232.0,79.0,38.0,63.0,145.0,170.0,197.0,0.0,0.0,30.0,0.0,70.0,614.0,349.0,699.0,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,80.0,38.0,63.0,154.0,177.0,204.0,0.0,0.0,30.0,0.0,70.0,624.0,358.0,704.0,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,80.0,38.0,63.0,159.0,184.0,209.0,0.0,0.0,30.0,0.0,70.0,627.0,366.0,710.0,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,83.0,38.0,63.0,159.0,192.0,209.0,0.0,0.0,30.0,0.0,70.0,628.0,376.0,716.0,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,88.0,38.0,63.0,159.0,192.0,209.0,0.0,0.0,30.0,0.0,70.0,637.0,385.0,721.0,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,88.0,38.0,63.0,165.0,192.0,209.0,0.0,0.0,30.0,0.0,70.0,644.0,395.0,721.0,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,88.0,38.0,66.0,165.0,192.0,209.0,0.0,0.0,30.0,0.0,70.0,644.0,403.0,721.0,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,88.0,38.0,66.0,165.0,192.0,209.0,0.0,0.0,31.0,0.0,70.0,651.0,412.0,725.0,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,102.0,38.0,66.0,165.0,197.0,214.0,0.0,0.0,39.0,0.0,70.0,651.0,419.0,731.0,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,240.0,102.0,38.0,66.0,171.0,204.0,220.0,0.0,0.0,39.0,0.0,70.0,655.0,429.0,740.0,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,241.0,102.0,38.0,66.0,174.0,213.0,220.0,0.0,0.0,39.0,0.0,70.0,659.0,440.0,742.0,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,66.0,181.0,220.0,220.0,0.0,0.0,39.0,0.0,70.0,667.0,449.0,744.0,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,66.0,190.0,226.0,220.0,0.0,0.0,39.0,0.0,70.0,676.0,456.0,752.0,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,67.0,196.0,233.0,220.0,0.0,0.0,39.0,0.0,79.0,681.0,465.0,760.0,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,67.0,204.0,239.0,220.0,0.0,0.0,39.0,0.0,79.0,692.0,475.0,768.0,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,67.0,209.0,244.0,225.0,0.0,0.0,39.0,0.0,79.0,700.0,486.0,778.0,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,244.0,102.0,38.0,67.0,214.0,252.0,229.0,0.0,0.0,39.0,0.0,79.0,702.0,496.0,786.0,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,102.0,38.0,67.0,214.0,259.0,229.0,0.0,0.0,39.0,0.0,79.0,702.0,508.0,793.0,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,102.0,38.0,67.0,220.0,259.0,229.0,0.0,0.0,39.0,0.0,79.0,708.0,518.0,800.0,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,102.0,38.0,72.0,228.0,262.0,229.0,0.0,0.0,39.0,0.0,79.0,716.0,528.0,808.0,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,105.0,42.0,79.0,232.0,267.0,229.0,0.0,0.0,39.0,0.0,80.0,718.0,537.0,816.0,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,121.0,42.0,79.0,232.0,274.0,231.0,0.0,0.0,39.0,0.0,80.0,718.0,548.0,824.0,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,250.0,126.0,42.0,79.0,232.0,277.0,238.0,0.0,0.0,39.0,0.0,80.0,718.0,558.0,832.0,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,256.0,129.0,42.0,79.0,232.0,284.0,246.0,0.0,0.0,39.0,0.0,80.0,718.0,569.0,841.0,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,272.0,129.0,42.0,79.0,232.0,294.0,253.0,0.0,0.0,39.0,0.0,80.0,718.0,581.0,849.0,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,272.0,129.0,48.0,82.0,235.0,300.0,258.0,0.0,0.0,39.0,0.0,80.0,723.0,590.0,857.0,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,272.0,129.0,55.0,86.0,243.0,303.0,264.0,0.0,0.0,39.0,0.0,80.0,733.0,599.0,863.0,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,272.0,129.0,64.0,95.0,243.0,303.0,268.0,0.0,0.0,39.0,0.0,80.0,733.0,607.0,868.0,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,272.0,129.0,64.0,104.0,243.0,308.0,272.0,0.0,0.0,39.0,0.0,80.0,739.0,614.0,871.0,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,272.0,133.0,64.0,104.0,243.0,314.0,277.0,0.0,0.0,39.0,0.0,80.0,739.0,620.0,877.0,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,272.0,133.0,64.0,107.0,243.0,321.0,282.0,0.0,0.0,39.0,0.0,80.0,744.0,628.0,885.0,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,279.0,133.0,64.0,107.0,243.0,330.0,282.0,0.0,0.0,39.0,0.0,80.0,755.0,637.0,885.0,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,283.0,133.0,64.0,107.0,243.0,330.0,282.0,0.0,0.0,39.0,0.0,80.0,768.0,642.0,893.0,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,283.0,133.0,64.0,111.0,252.0,336.0,282.0,0.0,0.0,39.0,0.0,80.0,780.0,646.0,902.0,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,283.0,133.0,64.0,117.0,252.0,336.0,286.0,0.0,0.0,39.0,0.0,80.0,780.0,648.0,911.0,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,283.0,133.0,64.0,117.0,252.0,336.0,286.0,0.0,0.0,39.0,0.0,80.0,780.0,656.0,915.0,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,283.0,133.0,69.0,117.0,252.0,344.0,290.0,0.0,0.0,39.0,0.0,80.0,780.0,661.0,923.0,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,291.0,133.0,69.0,117.0,252.0,348.0,301.0,0.0,0.0,39.0,0.0,80.0,780.0,671.0,933.0,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,133.0,69.0,117.0,252.0,359.0,301.0,0.0,0.0,39.0,0.0,80.0,780.0,682.0,935.0,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,133.0,69.0,117.0,260.0,368.0,302.0,0.0,0.0,39.0,0.0,80.0,780.0,682.0,943.0,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,133.0,69.0,121.0,270.0,374.0,302.0,0.0,0.0,39.0,0.0,80.0,789.0,682.0,952.0,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,133.0,69.0,128.0,270.0,379.0,302.0,0.0,0.0,39.0,0.0,80.0,789.0,682.0,960.0,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,138.0,70.0,128.0,273.0,386.0,302.0,0.0,0.0,39.0,0.0,80.0,789.0,689.0,969.0,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,273.0,392.0,313.0,0.0,0.0,39.0,0.0,80.0,789.0,695.0,978.0,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,273.0,400.0,324.0,0.0,0.0,39.0,0.0,80.0,792.0,703.0,987.0,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,273.0,407.0,329.0,0.0,0.0,39.0,0.0,80.0,798.0,713.0,989.0,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,285.0,410.0,329.0,0.0,0.0,39.0,0.0,80.0,808.0,715.0,989.0,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,415.0,329.0,0.0,0.0,39.0,0.0,80.0,819.0,715.0,989.0,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,420.0,329.0,0.0,0.0,39.0,0.0,80.0,824.0,715.0,989.0,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,428.0,329.0,0.0,0.0,39.0,0.0,80.0,824.0,715.0,989.0,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,432.0,334.0,0.0,0.0,39.0,0.0,80.0,824.0,715.0,996.0,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,439.0,339.0,0.0,0.0,39.0,0.0,80.0,824.0,721.0,1005.0,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,291.0,145.0,70.0,128.0,296.0,449.0,339.0,0.0,0.0,39.0,0.0,80.0,824.0,730.0,1005.0,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,291.0,145.0,70.0,128.0,299.0,458.0,339.0,0.0,0.0,39.0,0.0,80.0,831.0,730.0,1005.0,,,,,,,,,,,,,,,,
