row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8
11,,,,,,,,,,,,0.9913,0.9603,0.9974,0.8741,0.8147,0.6775,0.5853,0.4641,1.0513,1.0356,0.9774,0.9186,0.7939,0.6619,0.4989,0.3139,37.34,29.26,96.6,205.8,77.54,53.19,52.28,46.22,27.0,6.0,0.0,6.0,23.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,59.38,48.42,223.0,243.47,135.72,122.58,123.49,128.93,36.71,33.53,37.38,30.06,24.93,23.44,20.23,14.52
12,,,,,,,,,,,,0.9352,0.8779,0.9344,0.8171,0.7407,0.6043,0.5145,0.3629,1.0429,1.0237,0.9592,0.9013,0.7607,0.6263,0.4519,0.2783,35.23,26.75,90.49,192.37,70.5,47.45,45.96,36.14,27.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.9,47.86,218.3,240.0,134.0,120.72,121.16,126.42,35.54,32.21,36.01,28.87,23.71,22.16,18.94,13.18
13,,,,,,,,,,,,0.9051,0.8265,0.896,0.794,0.7126,0.5981,0.5226,0.3669,1.0159,0.9968,0.9367,0.8689,0.7224,0.5992,0.4236,0.2776,34.09,25.19,86.77,186.94,67.82,46.96,46.68,36.54,34.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.58,47.08,214.48,237.2,132.24,119.0,119.39,123.92,35.22,31.81,35.4,28.71,23.53,22.11,19.07,13.1
14,,,,,,,,,,,,0.9249,0.8626,0.9237,0.8391,0.7757,0.6839,0.6303,0.4883,0.9788,0.9489,0.8967,0.8403,0.6924,0.5827,0.4205,0.2809,34.84,26.28,89.46,197.55,73.83,53.7,56.3,48.63,38.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.09,46.53,207.76,233.96,130.44,117.11,117.56,121.8,36.21,32.78,36.34,30.1,24.94,23.84,21.16,15.12
15,,,,,,,,,,,,0.9734,0.9492,0.9899,0.9193,0.8939,0.8611,0.8081,0.689,0.958,0.9305,0.8911,0.8328,0.7056,0.6051,0.4749,0.3212,36.67,28.92,95.87,216.43,85.08,67.61,72.18,68.61,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,57.75,46.07,202.0,230.04,129.74,115.74,115.86,119.63,38.4,35.06,38.7,32.99,28.0,27.45,25.34,19.71
16,,,,,,,,,,,,1.0838,1.1067,1.1178,1.0711,1.0617,1.1057,1.0732,0.9653,0.9694,0.9609,0.9452,0.8761,0.7961,0.7343,0.6319,0.4161,40.82,33.72,108.26,252.18,101.05,86.81,95.86,96.13,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,57.32,45.56,198.41,227.98,128.36,114.3,114.72,117.99,41.8,38.78,42.62,37.41,32.66,32.77,31.31,26.54
17,,,,,,,,,,,,1.2255,1.3113,1.2771,1.2462,1.2757,1.4067,1.3794,1.2737,1.0079,1.0327,1.0329,0.9737,0.9571,0.9409,0.9031,0.628,46.16,39.96,123.69,293.42,121.42,110.44,123.22,126.84,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,56.94,45.07,194.06,225.01,126.96,112.83,113.55,115.48,45.63,43.05,46.92,42.17,37.6,38.29,37.88,35.05
18,,,,,,,,,,,,1.3174,1.4441,1.3402,1.3545,1.4525,1.6145,1.5787,1.5385,1.063,1.12,1.1264,1.1094,1.174,1.2047,1.2701,1.1116,49.62,44.01,129.8,318.91,138.24,126.76,141.02,153.21,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.56,44.86,190.83,222.78,125.64,111.36,112.2,113.82,47.55,45.25,49.16,44.65,40.27,41.27,41.7,40.92
19,,,,,,,,,,,,1.2799,1.3655,1.2612,1.3122,1.3938,1.5878,1.5373,1.6508,1.1092,1.1858,1.1846,1.2385,1.3689,1.4283,1.6149,1.6803,48.21,41.61,122.15,308.94,132.65,124.66,137.33,164.39,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.26,44.45,187.82,220.26,124.59,110.0,110.94,111.44,46.65,44.36,48.37,43.87,39.65,40.82,41.67,42.21
20,,,,,,,,,,,,1.1608,1.1902,1.1297,1.1945,1.2454,1.3191,1.3475,1.5149,1.1317,1.2032,1.189,1.2729,1.4044,1.5666,1.7713,1.9574,43.73,36.27,109.42,281.23,118.53,103.56,120.37,150.86,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.02,44.01,184.58,218.5,123.0,108.78,109.85,108.92,43.68,41.36,45.54,40.98,36.89,38.26,39.1,40.07
21,,,,,,,,,,,,1.0661,1.0817,1.0279,1.1062,1.1294,1.1483,1.1921,1.3441,1.0931,1.1571,1.1361,1.2047,1.3159,1.4297,1.5968,1.8373,40.16,32.96,99.56,260.44,107.49,90.16,106.49,133.85,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,55.78,43.66,180.3,216.01,121.88,107.2,108.61,107.16,40.61,38.4,42.71,38.08,33.93,35.43,36.15,37.21
22,,,,,,,,,,,,0.9764,0.9834,0.9357,1.0077,1.034,1.0355,1.087,1.2127,1.0384,1.0688,1.064,1.1015,1.1978,1.2844,1.3924,1.5853,36.78,29.96,90.63,237.25,98.41,81.3,97.1,120.76,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,55.51,43.21,177.0,214.9,120.58,105.63,107.32,104.88,37.49,35.39,39.79,35.24,31.02,32.54,33.23,34.37
23,,,,,,,,,,,,0.874,0.879,0.8442,0.9271,0.951,0.9563,1.0087,1.1296,1.0153,1.0094,1.0209,1.0566,1.121,1.1828,1.2811,1.443,32.92,26.79,81.76,218.28,90.51,75.08,90.11,112.49,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,6.0,55.26,42.93,173.89,212.6,119.96,104.44,106.43,103.36,34.32,32.36,36.82,32.54,28.27,29.82,30.42,31.65
24,,,,,,,,,,,,0.813,0.8075,0.8111,0.8721,0.8831,0.8994,0.9592,1.0791,0.9624,0.94,0.9829,1.0053,1.0393,1.0911,1.1575,1.3398,30.62,24.6,78.56,205.34,84.05,70.62,85.68,107.46,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,6.0,55.04,42.61,168.84,210.25,118.76,102.98,105.42,102.0,32.24,30.32,34.74,30.73,26.36,27.86,28.48,29.81
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,12.0,54.94,42.22,162.82,208.97,117.62,101.72,104.72,100.37,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,12.0,54.66,41.94,157.7,206.4,116.08,100.28,103.87,98.73,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,12.0,54.47,41.63,152.54,204.86,115.09,99.64,102.68,97.6,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,9.0,12.0,54.1,41.36,147.35,202.6,114.21,98.6,101.45,95.76,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,9.0,12.0,53.96,41.06,141.42,200.49,113.21,96.9,100.39,94.43,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,8.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,13.0,18.0,53.6,40.7,137.78,199.84,112.16,95.41,99.62,93.4,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,13.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,6.0,0.0,21.0,2.0,13.0,35.0,53.29,40.37,132.5,197.65,111.0,94.2,98.21,91.66,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,24.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,39.0,53.03,40.1,127.38,195.98,110.01,92.28,96.84,89.73,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,49.0,52.84,40.0,122.81,194.6,109.48,90.57,95.15,88.18,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,58.0,52.54,39.79,119.97,192.42,108.26,89.73,93.94,86.56,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,28.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,60.0,52.27,39.53,116.73,190.2,107.0,87.99,92.38,84.86,,,,,,,,
