technology,DE_w1,DE_w2,DE_w3,DE_w4,DE_w5,DE_w6,DE_w7,ES_w1,ES_w2,ES_w3,ES_w4,ES_w5,ES_w6,ES_w7,PT_w1,PT_w2,PT_w3,PT_w4,PT_w5,PT_w6,PT_w7,FR_w1,FR_w2,FR_w3,FR_w4,FR_w5,FR_w6,FR_w7,IT_w1,IT_w2,IT_w3,IT_w4,IT_w5,IT_w6,IT_w7
Hydro reservoir,1309.0,1308.5,1308.5,1309.0,1345.0,1392.0,1459.8,19145.8,19139.4,19185.7,19186.7,15772.7,15771.4,15764.6,1515.3,1515.3,1515.3,1515.3,1633.4,1629.0,1789.0,8279.0,8785.1,8785.1,8785.2,8787.3,8791.1,8791.1,3857.0,4459.0,4454.0,4441.0,4440.0,4542.0,4548.0
Hydro pumped (production),9422.0,9421.5,9421.5,9379.2,9379.0,9449.0,9383.8,5645.4,5645.4,5645.4,5695.4,3417.5,3417.5,3417.5,2820.0,2820.0,2820.0,2827.4,3707.4,3707.4,3707.4,5023.0,5064.0,5064.0,5050.0,5051.0,5060.7,5060.8,7574.0,7276.0,7276.0,7256.0,7256.0,7256.0,7245.0
Biomass,7782.1,8033.6,8447.1,8378.9,8513.8,8659.5,8851.0,507.0,554.6,704.0,702.3,707.1,707.5,709.1,604.8,678.8,684.1,681.0,647.0,681.0,687.1,1931.0,1578.2,1579.2,1300.9,1342.7,1407.7,1412.7,1538.0,1549.0,1587.0,1548.0,1534.0,1543.0,1539.0
Gas,31745.0,31793.1,32038.2,30648.7,33135.0,37584.0,38596.6,30266.3,30012.3,29969.5,29926.9,29902.6,29872.8,29943.3,4606.0,4606.2,4584.9,4519.5,4584.6,4432.7,4418.6,11952.0,12237.6,12217.6,13074.1,12892.8,12768.2,12787.7,48134.0,44287.0,43989.0,44002.0,46287.0,47228.0,47625.0
Oil & other fossil,4356.0,4372.5,4184.4,3966.3,4083.0,4118.0,6913.8,713.8,706.5,678.4,669.0,669.7,703.7,672.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,2874.2,2746.2,2761.8,2565.8,2970.9,2978.9,1443.0,1493.0,1480.0,1490.0,1543.0,1564.0,1548.0
Waste,1707.0,1681.6,1660.6,1619.5,1933.0,1832.0,1887.0,537.6,543.1,537.1,565.3,545.9,545.9,545.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,460.2,460.2,947.2,928.8,1033.4,1062.7,132.0,125.0,125.0,122.0,120.0,670.0,671.0
Geothermal,41.8,47.5,43.9,50.9,55.6,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8,1.8,1.8,1.8,869.0,869.0,869.0,869.0,869.0,868.0,868.0
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,246.0,246.0,242.8,242.8,243.1,243.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other renewable,444.6,407.5,420.3,352.4,384.2,356.4,399.7,260.9,274.8,268.8,271.7,284.9,286.9,620.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Other,1235.0,1557.8,1638.8,1678.8,1706.0,1630.0,13287.5,117.4,117.4,117.4,118.4,118.4,122.2,129.6,36.2,8.0,28.0,28.0,28.0,28.0,28.0,108.0,1069.8,1119.8,1156.7,1145.2,802.5,1023.0,991.0,1394.0,837.0,825.0,853.0,334.0,437.0
